date,equity,daily_return,cumulative_return
2023-08-31,1001610.0,0.0004954480708490741,0.0016099999999998893
2023-09-01,1009349.0,0.007726560238016793,0.009349000000000052
2023-09-04,1020474.0,0.011021955735825765,0.020474000000000103
2023-09-05,1013814.0,-0.006526378918032209,0.013813999999999993
2023-09-06,1017866.0,0.003996788365518724,0.017865999999999937
2023-09-07,1011932.0,-0.005829844006971448,0.011932000000000054
2023-09-08,1009762.0,-0.002144412865686627,0.009762000000000048
2023-09-11,1009905.0,0.00014161752967530963,0.009905000000000053
2023-09-12,1008170.0,-0.0017179833746738555,0.00817000000000001
2023-09-13,1006115.0,-0.002038346707400538,0.006115000000000093
2023-09-14,1006219.0,0.00010336790525933914,0.0062189999999999745
2023-09-15,1002143.0,-0.004050808024893189,0.002143000000000006
2023-09-18,1007444.0,0.005289664249513293,0.007444000000000006
2023-09-19,1006910.0,-0.0005300542759696816,0.006909999999999972
2023-09-20,1004370.0,-0.002522569047879155,0.004369999999999985
2023-09-21,999009.0,-0.005337674363033543,-0.0009909999999999641
2023-09-22,1014206.0,0.015212075166489992,0.014205999999999941
2023-09-25,1006866.0,-0.007237188500166633,0.006866000000000039
2023-09-26,1002728.0,-0.0041097822351733,0.0027280000000000637
2023-09-27,1002872.0,0.00014360823673020002,0.0028719999999999857
2023-09-28,999560.0,-0.0033025151764133408,-0.00043999999999999595
2023-10-09,998264.0,-0.001296570491016047,-0.0017359999999999598
2023-10-10,995456.0,-0.002812883165174743,-0.0045439999999999925
2023-10-11,997256.0,0.0018082165359393082,-0.0027439999999999687
2023-10-12,1001269.0,0.004024041971168887,0.0012689999999999646
2023-10-13,995271.0,-0.005990398184703611,-0.004728999999999983
2023-10-16,990445.7999999999,-0.004848126791597534,-0.009554200000000068
2023-10-17,991474.7999999999,0.0010389261078193276,-0.008525200000000122
2023-10-18,991327.7999999999,-0.00014826398008300365,-0.008672200000000019
2023-10-19,986819.7999999999,-0.004547436276880363,-0.013180200000000086
2023-10-20,987211.7999999999,0.00039723564525154443,-0.012788200000000027
2023-10-23,984717.7,-0.002526408213516063,-0.015282300000000082
2023-10-24,983027.7,-0.0017162279097857184,-0.01697230000000005
2023-10-25,981987.7,-0.001057955945697156,-0.018012300000000092
2023-10-26,981742.7,-0.00024949396005672985,-0.018257300000000032
2023-10-27,989253.7,0.00765068077409692,-0.010746300000000097
2023-10-30,995991.7,0.006811195146401778,-0.004008300000000076
2023-10-31,996538.7,0.0005492013638266263,-0.0034613000000000005
2023-11-01,992309.1,-0.0042442907636200955,-0.007690900000000056
2023-11-02,990244.1,-0.0020810047998148966,-0.00975590000000004
2023-11-03,992909.1,0.002691255620710086,-0.007090900000000011
2023-11-06,1001369.1,0.008520417427939778,0.001369100000000012
2023-11-07,1000159.1,-0.0012083456539651563,0.00015910000000007862
2023-11-08,1001834.1,0.0016747335498922121,0.0018340999999999497
2023-11-09,998294.1,-0.003533519172485744,-0.001705900000000038
2023-11-10,996899.1,-0.0013973837970193354,-0.003100900000000073
2023-11-13,993214.1,-0.003696462360132535,-0.006785900000000011
2023-11-14,993314.1,0.00010068322630538572,-0.006685900000000022
2023-11-15,995291.1,0.0019903069935280292,-0.004708900000000016
2023-11-16,989514.1,-0.005804332019044478,-0.010485900000000048
2023-11-17,990330.1,0.0008246471677361647,-0.009669900000000009
2023-11-20,992081.1,0.0017680973243164072,-0.007918900000000062
2023-11-21,992082.1,1.0079821095271344e-06,-0.007917900000000033
2023-11-22,987606.1,-0.004511723374507009,-0.012393900000000069
2023-11-23,987543.1,-6.379061449701455e-05,-0.012456899999999993
2023-11-24,986535.1,-0.001020714943985736,-0.013464900000000002
2023-11-27,986031.1,-0.0005108789337551193,-0.013968900000000062
2023-11-28,986451.1,0.00042595005370520264,-0.013548899999999975
2023-11-29,984771.1,-0.0017030747900225365,-0.01522889999999999
2023-11-30,984771.1,0.0,-0.01522889999999999
