date,total_value,cash,positions_value
2024-05-23,965708.4379534002,568674.4379534002,397034.0
2024-05-24,966168.4379534002,568674.4379534002,397494.0
2024-05-27,965300.4379534002,568674.4379534002,396626.0
2024-05-28,963706.4379534002,568674.4379534002,395032.0
2024-05-29,962058.4379534002,568674.4379534002,393384.0
2024-05-30,963076.4379534002,568674.4379534002,394402.0
2024-05-31,962151.8238870002,369527.8238870002,592624.0
2024-06-03,963703.8683332002,572633.8683332002,391070.0
2024-06-04,962557.8683332002,572633.8683332002,389924.0
2024-06-05,959899.4089332003,374376.4089332003,585523.0
2024-06-06,960819.4089332003,374376.4089332003,586443.0
2024-06-07,960817.4089332003,374376.4089332003,586441.0
2024-06-10,957255.4089332003,374376.4089332003,582879.0
2024-06-11,957710.4089332003,374376.4089332003,583334.0
2024-06-12,959701.4089332003,374376.4089332003,585325.0
2024-06-13,961555.4089332003,374376.4089332003,587179.0
2024-06-14,962480.2384868003,570197.2384868003,392283.0
2024-06-17,962250.2384868003,570197.2384868003,392053.0
2024-06-18,961279.8740780004,371242.8740780004,590037.0
2024-06-19,960994.8740780004,371242.8740780004,589752.0
2024-06-20,962243.8740780004,371242.8740780004,591001.0
2024-06-21,962996.8740780004,371242.8740780004,591754.0
2024-06-24,961235.8740780004,371242.8740780004,589993.0
2024-06-25,960129.8740780004,371242.8740780004,588887.0
2024-06-26,961600.8740780004,371242.8740780004,590358.0
2024-06-27,963323.8740780004,371242.8740780004,592081.0
2024-06-28,963114.8740780004,371242.8740780004,591872.0
2024-07-01,960836.3205794004,368273.3205794004,592563.0
2024-07-02,960780.3205794004,368273.3205794004,592507.0
2024-07-03,961394.3205794004,368273.3205794004,593121.0
2024-07-04,958135.3205794004,368273.3205794004,589862.0
2024-07-05,954019.3917288005,364613.3917288005,589406.0
2024-07-08,959411.3917288005,364613.3917288005,594798.0
2024-07-09,961853.3917288005,364613.3917288005,597240.0
2024-07-10,962284.3917288005,364613.3917288005,597671.0
2024-07-11,962218.3917288005,364613.3917288005,597605.0
2024-07-12,966955.3917288005,364613.3917288005,602342.0
2024-07-15,968072.3917288005,364613.3917288005,603459.0
2024-07-16,968692.3917288005,364613.3917288005,604079.0
2024-07-17,964129.3917288005,364613.3917288005,599516.0
2024-07-18,962644.7407943006,374995.74079430057,587649.0
2024-07-19,963508.7407943006,374995.74079430057,588513.0
2024-07-22,965923.7407943006,374995.74079430057,590928.0
2024-07-23,963517.7407943006,374995.74079430057,588522.0
2024-07-24,962320.7407943006,374995.74079430057,587325.0
2024-07-25,959461.7407943006,374995.74079430057,584466.0
2024-07-26,956550.7407943006,374995.74079430057,581555.0
2024-07-29,954904.7407943006,374995.74079430057,579909.0
2024-07-30,957857.7407943006,374995.74079430057,582862.0
2024-07-31,961693.6580376006,376360.65803760063,585333.0
2024-08-01,959596.6580376006,376360.65803760063,583236.0
2024-08-02,958726.6580376006,376360.65803760063,582366.0
2024-08-05,954000.0208241006,571516.0208241006,382484.0
2024-08-06,952291.0208241006,571516.0208241006,380775.0
2024-08-07,950130.0208241006,571516.0208241006,378614.0
2024-08-08,949655.0208241006,571516.0208241006,378139.0
2024-08-09,949815.0208241006,571516.0208241006,378299.0
2024-08-12,949022.9347488006,372005.9347488006,577017.0
2024-08-13,946991.9347488006,372005.9347488006,574986.0
2024-08-14,947402.9347488006,372005.9347488006,575397.0
2024-08-15,944055.9347488006,372005.9347488006,572050.0
2024-08-16,944404.9347488006,372005.9347488006,572399.0
2024-08-19,945570.6905537006,551365.6905537006,394205.0
2024-08-20,944357.6905537006,551365.6905537006,392992.0
2024-08-21,945292.6905537006,551365.6905537006,393927.0
2024-08-22,944774.6905537006,551365.6905537006,393409.0
2024-08-23,946470.6905537006,551365.6905537006,395105.0
2024-08-26,948596.1035857006,354550.1035857006,594046.0
2024-08-27,947994.1035857006,354550.1035857006,593444.0
2024-08-28,947937.1035857006,354550.1035857006,593387.0
2024-08-29,948643.1035857006,354550.1035857006,594093.0
2024-08-30,947035.8754069007,351228.8754069006,595807.0
2024-09-02,949128.8754069007,351228.8754069006,597900.0
2024-09-03,948756.8754069007,351228.8754069006,597528.0
2024-09-04,949874.8754069007,351228.8754069006,598646.0
2024-09-05,950380.8754069007,351228.8754069006,599152.0
2024-09-06,951978.8754069007,351228.8754069006,600750.0
2024-09-09,952923.8754069007,351228.8754069006,601695.0
2024-09-10,957243.8754069007,351228.8754069006,606015.0
2024-09-11,957901.6927403007,557471.6927403007,400430.0
2024-09-12,957323.6927403007,557471.6927403007,399852.0
2024-09-13,955910.2607852006,357695.2607852007,598215.0
2024-09-16,956071.2607852006,357695.2607852007,598376.0
2024-09-17,955494.2607852006,357695.2607852007,597799.0
2024-09-18,953713.2607852006,357695.2607852007,596018.0
2024-09-19,952089.2607852006,357695.2607852007,594394.0
2024-09-20,951475.2607852006,357695.2607852007,593780.0
2024-09-23,951947.2607852006,357695.2607852007,594252.0
2024-09-24,954045.2607852006,357695.2607852007,596350.0
2024-09-25,951332.5868580007,553300.5868580007,398032.0
2024-09-26,952498.5868580007,553300.5868580007,399198.0
2024-09-27,951156.5868580007,553300.5868580007,397856.0
2024-09-30,949390.8112578007,760668.8112578007,188722.0
2024-10-01,950555.8563049007,563569.8563049007,386986.0
2024-10-02,949887.8563049007,563569.8563049007,386318.0
2024-10-03,949467.8563049007,563569.8563049007,385898.0
2024-10-04,949503.3734995008,365294.3734995008,584209.0
2024-10-07,947637.3734995008,365294.3734995008,582343.0
2024-10-08,949879.3734995008,365294.3734995008,584585.0
2024-10-09,947835.3734995008,365294.3734995008,582541.0
2024-10-10,949507.3734995008,365294.3734995008,584213.0
2024-10-11,951684.3734995008,365294.3734995008,586390.0
2024-10-14,951200.6670194007,383466.66701940075,567734.0
2024-10-15,953259.6670194007,383466.66701940075,569793.0
2024-10-16,952143.6670194007,383466.66701940075,568677.0
2024-10-17,953407.6670194007,383466.66701940075,569941.0
2024-10-18,953321.6670194007,383466.66701940075,569855.0
2024-10-21,956334.6670194007,383466.66701940075,572868.0
2024-10-22,955333.6670194007,383466.66701940075,571867.0
2024-10-23,954877.6670194007,383466.66701940075,571411.0
2024-10-24,954400.6670194007,383466.66701940075,570934.0
2024-10-25,952809.6670194007,383466.66701940075,569343.0
2024-10-28,952925.6670194007,383466.66701940075,569459.0
2024-10-29,952991.6670194007,383466.66701940075,569525.0
2024-10-30,951936.6670194007,383466.66701940075,568470.0
2024-10-31,949746.2681063007,384148.26810630073,565598.0
2024-11-01,952234.2681063007,384148.26810630073,568086.0
2024-11-04,954330.8402055007,580080.8402055007,374250.0
2024-11-05,955302.8402055007,580080.8402055007,375222.0
2024-11-06,955494.8402055007,580080.8402055007,375414.0
2024-11-07,958332.8402055007,580080.8402055007,378252.0
2024-11-08,958398.8402055007,580080.8402055007,378318.0
2024-11-11,960324.8402055007,580080.8402055007,380244.0
2024-11-12,959722.8296169008,379858.82961690077,579864.0
2024-11-13,961054.9042971008,379072.9042971008,581982.0
2024-11-14,960412.9042971008,379072.9042971008,581340.0
2024-11-15,957286.9042971008,379072.9042971008,578214.0
2024-11-18,955372.9042971008,379072.9042971008,576300.0
2024-11-19,957190.9042971008,379072.9042971008,578118.0
2024-11-20,955372.9042971008,379072.9042971008,576300.0
2024-11-21,957016.9042971008,379072.9042971008,577944.0
2024-11-22,956482.9042971008,379072.9042971008,577410.0
2024-11-25,955930.9042971008,379072.9042971008,576858.0
2024-11-26,955180.9042971008,379072.9042971008,576108.0
2024-11-27,955864.9042971008,379072.9042971008,576792.0
2024-11-28,953254.9042971008,379072.9042971008,574182.0
2024-11-29,953128.9042971008,379072.9042971008,574056.0
