date,total_value,cash,positions_value
1970-01-01,1317721.25,102650.25,1215071.0
1970-01-01,1311638.15,104485.15,1207153.0
1970-01-01,1307074.21,106342.21,1200732.0
1970-01-01,1284621.29,99723.29,1184898.0
1970-01-01,1294809.02,80244.02,1214565.0
1970-01-01,1284942.6,61204.6,1223738.0
1970-01-01,1308611.6,61204.6,1247407.0
1970-01-01,1313380.44,81329.44,1232051.0
1970-01-01,1307583.31,88417.31,1219166.0
1970-01-01,1304380.34,66863.34,1237517.0
1970-01-01,1310220.34,66863.34,1243357.0
1970-01-01,1328625.24,90482.24,1238143.0
1970-01-01,1318130.24,90482.24,1227648.0
1970-01-01,1323444.24,90482.24,1232962.0
1970-01-01,1330176.24,90482.24,1239694.0
1970-01-01,1329702.24,90482.24,1239220.0
1970-01-01,1349657.24,90482.24,1259175.0
1970-01-01,1345626.24,90482.24,1255144.0
1970-01-01,1360823.24,90482.24,1270341.0
1970-01-01,1365487.24,90482.24,1275005.0
1970-01-01,1366652.24,90482.24,1276170.0
1970-01-01,1363791.04,104094.04,1259697.0
1970-01-01,1354332.04,104094.04,1250238.0
1970-01-01,1361832.04,104094.04,1257738.0
1970-01-01,1365100.04,104094.04,1261006.0
1970-01-01,1368361.56,118237.56,1250124.0
1970-01-01,1376106.56,118237.56,1257869.0
1970-01-01,1393679.56,118237.56,1275442.0
1970-01-01,1407436.74,140269.74,1267167.0
1970-01-01,1410151.74,140269.74,1269882.0
1970-01-01,1402670.74,140269.74,1262401.0
1970-01-01,1405896.81,162218.81,1243678.0
1970-01-01,1409596.77,179114.77,1230482.0
1970-01-01,1437966.3,217546.3,1220420.0
1970-01-01,1442159.3,217546.3,1224613.0
1970-01-01,1433669.3,217546.3,1216123.0
1970-01-01,1436841.3,217546.3,1219295.0
1970-01-01,1436133.3,217546.3,1218587.0
1970-01-01,1427689.82,207053.82,1220636.0
1970-01-01,1439045.85,197578.85,1241467.0
1970-01-01,1443346.85,197578.85,1245768.0
1970-01-01,1439544.85,197578.85,1241966.0
1970-01-01,1438955.21,200223.21,1238732.0
1970-01-01,1455953.21,200223.21,1255730.0
1970-01-01,1464572.59,198249.59,1266323.0
1970-01-01,1462621.59,198249.59,1264372.0
1970-01-01,1455062.59,198249.59,1256813.0
1970-01-01,1450832.59,198249.59,1252583.0
1970-01-01,1463217.86,228139.86,1235078.0
1970-01-01,1471969.82,239731.82,1232238.0
1970-01-01,1473022.82,239731.82,1233291.0
1970-01-01,1485714.82,239731.82,1245983.0
1970-01-01,1484996.72,255474.72,1229522.0
1970-01-01,1485532.72,255474.72,1230058.0
1970-01-01,1504507.72,255474.72,1249033.0
1970-01-01,1526445.72,255474.72,1270971.0
1970-01-01,1528939.78,298412.78,1230527.0
1970-01-01,1540911.78,298412.78,1242499.0
1970-01-01,1540508.78,298412.78,1242096.0
1970-01-01,1535817.78,298412.78,1237405.0
1970-01-01,1532968.66,299025.66,1233943.0
1970-01-01,1532383.76,299559.76,1232824.0
1970-01-01,1533898.76,299559.76,1234339.0
1970-01-01,1530399.77,282353.77,1248046.0
1970-01-01,1536305.77,282353.77,1253952.0
1970-01-01,1531708.77,282353.77,1249355.0
1970-01-01,1558404.08,301133.08,1257271.0
1970-01-01,1584038.33,324353.33,1259685.0
1970-01-01,1582750.41,337931.41,1244819.0
1970-01-01,1577953.41,337931.41,1240022.0
1970-01-01,1581691.5,360390.5,1221301.0
1970-01-01,1567358.8,345142.8,1222216.0
1970-01-01,1576930.8,345142.8,1231788.0
1970-01-01,1594404.8,345142.8,1249262.0
1970-01-01,1584180.8,345142.8,1239038.0
1970-01-01,1595637.24,346066.24,1249571.0
1970-01-01,1582787.15,354112.15,1228675.0
1970-01-01,1599779.82,374975.82,1224804.0
1970-01-01,1604550.82,374975.82,1229575.0
1970-01-01,1577854.94,372806.94,1205048.0
1970-01-01,1590112.99,370703.99,1219409.0
1970-01-01,1589201.99,370703.99,1218498.0
1970-01-01,1588733.99,370703.99,1218030.0
1970-01-01,1588065.81,368810.81,1219255.0
1970-01-01,1600806.81,368810.81,1231996.0
1970-01-01,1595403.63,370355.63,1225048.0
1970-01-01,1575980.45,366678.45,1209302.0
1970-01-01,1585629.45,366678.45,1218951.0
1970-01-01,1576306.39,668433.39,907873.0
1970-01-01,1585147.29,392032.29,1193115.0
1970-01-01,1584818.29,392032.29,1192786.0
1970-01-01,1585319.29,392032.29,1193287.0
1970-01-01,1582960.39,512475.39,1070485.0
1970-01-01,1591845.75,362589.75,1229256.0
1970-01-01,1589121.75,362589.75,1226532.0
1970-01-01,1590659.75,362589.75,1228070.0
1970-01-01,1572182.74,359579.74,1212603.0
1970-01-01,1586294.74,359579.74,1226715.0
1970-01-01,1583430.74,359579.74,1223851.0
1970-01-01,1582418.74,359579.74,1222839.0
1970-01-01,1584820.74,359579.74,1225241.0
1970-01-01,1583364.8,355515.8,1227849.0
1970-01-01,1587728.8,355515.8,1232213.0
1970-01-01,1582670.38,347435.38,1235235.0
1970-01-01,1590803.34,369699.34,1221104.0
1970-01-01,1609888.0,391717.0,1218171.0
1970-01-01,1611871.0,391717.0,1220154.0
1970-01-01,1613811.0,391717.0,1222094.0
1970-01-01,1619434.0,391717.0,1227717.0
1970-01-01,1611451.0,391717.0,1219734.0
1970-01-01,1603502.88,382779.88,1220723.0
1970-01-01,1597446.88,382779.88,1214667.0
1970-01-01,1603236.88,382779.88,1220457.0
1970-01-01,1608417.06,377101.06,1231316.0
1970-01-01,1611252.06,377101.06,1234151.0
1970-01-01,1613728.06,377101.06,1236627.0
1970-01-01,1600926.16,380658.16,1220268.0
1970-01-01,1597024.58,376929.58,1220095.0
1970-01-01,1603934.58,376929.58,1227005.0
1970-01-01,1609293.58,376929.58,1232364.0
1970-01-01,1606458.47,391892.47,1214566.0
1970-01-01,1608986.47,391892.47,1217094.0
1970-01-01,1626509.47,391892.47,1234617.0
1970-01-01,1625237.47,391892.47,1233345.0
1970-01-01,1613959.47,391892.47,1222067.0
1970-01-01,1611720.05,391023.05,1220697.0
1970-01-01,1626332.05,391023.05,1235309.0
1970-01-01,1638068.77,413668.77,1224400.0
1970-01-01,1660786.77,413668.77,1247118.0
1970-01-01,1692713.47,431816.47,1260897.0
1970-01-01,1678169.69,539740.69,1138429.0
1970-01-01,1755435.26,566774.26,1188661.0
1970-01-01,1703486.91,537117.91,1166369.0
1970-01-01,1686453.02,499944.02,1186509.0
1970-01-01,1671179.86,484556.86,1186623.0
1970-01-01,1703462.86,484556.86,1218906.0
1970-01-01,1685480.86,484556.86,1200924.0
1970-01-01,1683793.86,484556.86,1199237.0
1970-01-01,1689476.66,480094.66,1209382.0
1970-01-01,1724955.91,522290.91,1202665.0
1970-01-01,1741386.54,518619.54,1222767.0
1970-01-01,1764960.91,548435.91,1216525.0
1970-01-01,1777314.96,529477.96,1247837.0
1970-01-01,1758913.96,529477.96,1229436.0
1970-01-01,1763712.54,553398.54,1210314.0
1970-01-01,1783797.64,565953.64,1217844.0
1970-01-01,1788683.66,593415.66,1195268.0
1970-01-01,1790608.54,588524.54,1202084.0
1970-01-01,1803975.54,588524.54,1215451.0
1970-01-01,1801727.54,588524.54,1213203.0
1970-01-01,1831362.2,618341.2,1213021.0
1970-01-01,1870072.21,636667.21,1233405.0
1970-01-01,1857036.25,652584.25,1204452.0
1970-01-01,1874855.25,652584.25,1222271.0
1970-01-01,1892841.74,673608.74,1219233.0
1970-01-01,1899968.72,674250.72,1225718.0
1970-01-01,1883884.72,674250.72,1209634.0
1970-01-01,1909365.72,674250.72,1235115.0
1970-01-01,1882641.34,709768.34,1172873.0
1970-01-01,1853497.68,991296.68,862201.0
1970-01-01,1830132.61,1383617.61,446515.0
1970-01-01,1836346.17,1083730.17,752616.0
1970-01-01,1843138.07,1092958.07,750180.0
1970-01-01,1843186.32,942985.32,900201.0
1970-01-01,1826020.32,942985.32,883035.0
1970-01-01,1832006.32,942985.32,889021.0
1970-01-01,1841379.32,942985.32,898394.0
1970-01-01,1846923.73,666080.73,1180843.0
1970-01-01,1842535.73,666080.73,1176455.0
1970-01-01,1856203.73,666080.73,1190123.0
1970-01-01,1843066.73,666080.73,1176986.0
1970-01-01,1865077.73,666080.73,1198997.0
1970-01-01,1871297.73,666080.73,1205217.0
1970-01-01,1873917.73,666080.73,1207837.0
1970-01-01,1883759.73,666080.73,1217679.0
1970-01-01,1886592.73,666080.73,1220512.0
1970-01-01,1904336.19,662459.19,1241877.0
1970-01-01,1887642.19,662459.19,1225183.0
1970-01-01,1902899.19,662459.19,1240440.0
1970-01-01,1886998.65,661498.65,1225500.0
1970-01-01,1899583.03,648308.03,1251275.0
1970-01-01,1898008.03,648308.03,1249700.0
1970-01-01,1909480.03,648308.03,1261172.0
1970-01-01,1899215.34,655646.34,1243569.0
1970-01-01,1897659.08,646993.08,1250666.0
1970-01-01,1918920.08,646993.08,1271927.0
1970-01-01,1934420.08,646993.08,1287427.0
1970-01-01,1946839.08,646993.08,1299846.0
1970-01-01,1943543.28,677040.28,1266503.0
1970-01-01,1945596.76,699408.76,1246188.0
1970-01-01,1965881.76,699408.76,1266473.0
1970-01-01,1953948.69,836592.69,1117356.0
