date,total_value,cash,positions_value
2024-04-15,1043838.1455600411,745941.1455600411,297897.0
2024-04-16,1043710.1455600411,745941.1455600411,297769.0
2024-04-17,1046287.878954641,601735.878954641,444552.0
2024-04-18,1050670.878954641,601735.878954641,448935.0
2024-04-19,1051332.1862666411,452582.1862666411,598750.0
2024-04-22,1046558.1862666411,452582.1862666411,593976.0
2024-04-23,1043437.1862666411,452582.1862666411,590855.0
2024-04-24,1042628.1862666411,452582.1862666411,590046.0
2024-04-25,1048170.1862666411,452582.1862666411,595588.0
2024-04-26,1048025.1862666411,452582.1862666411,595443.0
2024-04-29,1051212.954145641,315333.95414564107,735879.0
2024-04-30,1041244.8947027411,336535.89470274106,704709.0
2024-05-06,1057259.0110823412,488311.01108234114,568948.0
2024-05-07,1060467.3223645412,338390.3223645411,722077.0
2024-05-08,1051910.3223645412,338390.3223645411,713520.0
2024-05-09,1055816.3223645412,338390.3223645411,717426.0
2024-05-10,1063063.3223645412,338390.3223645411,724673.0
2024-05-13,1059512.3223645412,338390.3223645411,721122.0
2024-05-14,1054320.3897727411,326559.3897727411,727761.0
2024-05-15,1044880.1436347411,599670.1436347411,445210.0
2024-05-16,1054472.589219741,301232.58921974106,753240.0
2024-05-17,1065305.589219741,301232.58921974106,764073.0
2024-05-20,1064854.589219741,301232.58921974106,763622.0
2024-05-21,1064925.280602541,318512.28060254105,746413.0
2024-05-22,1069138.9468109412,323128.9468109411,746010.0
2024-05-23,1061023.9468109412,323128.9468109411,737895.0
2024-05-24,1051056.9468109412,323128.9468109411,727928.0
2024-05-27,1059193.9468109412,323128.9468109411,736065.0
2024-05-28,1053520.9468109412,323128.9468109411,730392.0
2024-05-29,1049295.2098549411,466678.2098549411,582617.0
2024-05-30,1048778.2098549411,466678.2098549411,582100.0
2024-05-31,1045708.0900020412,769248.0900020412,276460.0
2024-06-03,1042333.7504684257,757333.7504684257,285000.0
2024-06-04,1042966.3750536257,608424.3750536257,434542.0
2024-06-05,1043558.1102336256,458830.1102336257,584728.0
2024-06-06,1043616.3844436257,600204.3844436257,443412.0
2024-06-07,1039985.7580016258,451871.7580016257,588114.0
2024-06-11,1040332.9946402502,590632.9946402502,449700.0
2024-06-12,1035058.7558262502,441058.7558262502,594000.0
2024-06-13,1040204.7558262502,441058.7558262502,599146.0
2024-06-14,1042873.7558262502,441058.7558262502,601815.0
2024-06-17,1053690.7558262502,441058.7558262502,612632.0
2024-06-18,1057089.7336254502,465923.7336254502,591166.0
2024-06-19,1056534.6736662502,616991.6736662502,439543.0
2024-06-20,1048919.0510558502,469432.0510558502,579487.0
2024-06-21,1051376.0510558502,469432.0510558502,581944.0
2024-06-24,1052367.0378628504,610497.0378628502,441870.0
2024-06-25,1049986.0378628504,610497.0378628502,439489.0
2024-06-26,1053988.6534152501,460810.65341525024,593178.0
2024-06-27,1059747.9248615734,485883.92486157344,573864.0
2024-06-28,1062390.9248615734,485883.92486157344,576507.0
2024-07-01,1065476.5962575735,337010.59625757346,728466.0
2024-07-02,1070163.5962575735,337010.59625757346,733153.0
2024-07-03,1063777.1892725735,458281.18927257345,605496.0
2024-07-04,1065127.1155966735,308834.11559667345,756293.0
2024-07-05,1053279.6465998734,460947.64659987343,592332.0
2024-07-08,1058536.6465998734,460947.64659987343,597589.0
2024-07-09,1062547.1543872275,599040.1543872275,463507.0
2024-07-10,1063868.1543872275,599040.1543872275,464828.0
2024-07-11,1056604.3985114275,608439.3985114276,448165.0
2024-07-12,1055483.2203664277,484249.2203664277,571234.0
2024-07-15,1057029.2203664277,484249.2203664277,572780.0
2024-07-16,1065373.2203664277,484249.2203664277,581124.0
2024-07-17,1062404.9864764279,337758.98647642776,724646.0
2024-07-18,1063669.9864764279,337758.98647642776,725911.0
2024-07-19,1058483.899471928,337964.8994719278,720519.0
2024-07-22,1058518.899471928,337964.8994719278,720554.0
