symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
sh.600372,2024-07-31,2024-08-20,12.6,11.95,11900,-7821.43,-0.051,20,stop_loss
sh.600188,2024-08-08,2024-08-21,13.45,12.76,11100,-7788.02,-0.051,13,stop_loss
sz.300418,2024-08-20,2024-08-21,28.92,27.45,5100,-7696.39,-0.051,1,stop_loss
sz.300803,2024-08-05,2024-08-22,26.39,25.04,5600,-7710.77,-0.051,17,stop_loss
sh.601985,2024-08-05,2024-08-26,10.63,10.98,14100,4737.82,0.033,21,timeout
sz.300308,2024-08-21,2024-08-26,119.57,113.48,1200,-7487.83,-0.051,5,stop_loss
sh.688187,2024-08-27,2024-08-27,50.77,48.18,2900,-7682.97,-0.051,0,stop_loss
sz.002463,2024-08-22,2024-08-28,32.82,31.15,4500,-7708.18,-0.051,6,stop_loss
sh.601985,2024-08-27,2024-09-03,10.99,10.43,13600,-7800.85,-0.051,7,stop_loss
sh.600188,2024-08-22,2024-09-09,13.12,12.45,11400,-7804.23,-0.051,18,stop_loss
sz.000786,2024-08-23,2024-09-09,24.36,23.12,6100,-7753.42,-0.0509,17,stop_loss
sh.601985,2024-09-04,2024-09-11,10.17,9.65,14700,-7800.54,-0.051,7,stop_loss
sz.000792,2024-08-28,2024-09-18,14.06,14.67,10600,6171.37,0.0428,21,timeout
sz.002463,2024-08-29,2024-09-18,30.39,32.7,4900,11096.9,0.0759,20,timeout
sz.300308,2024-09-10,2024-09-24,101.67,116.8,1400,20974.09,0.1488,14,take_profit
sz.000792,2024-09-19,2024-09-27,14.82,17.03,10100,22063.77,0.1489,8,take_profit
sh.600346,2024-09-19,2024-09-27,11.65,13.38,12800,21966.62,0.1488,8,take_profit
sz.300832,2024-09-10,2024-09-30,64.47,74.06,2300,21849.29,0.1488,20,take_profit
sh.601985,2024-09-12,2024-09-30,9.45,10.86,15800,22010.43,0.1488,18,take_profit
sh.600015,2024-09-25,2024-10-08,6.36,7.31,23500,22036.87,0.1488,13,take_profit
sh.601985,2024-10-08,2024-10-08,11.76,11.16,12700,-7791.04,-0.051,0,stop_loss
sz.002601,2024-10-08,2024-10-08,21.7,20.59,6900,-7812.53,-0.051,0,stop_loss
sh.600188,2024-09-30,2024-10-09,14.92,14.16,10000,-7785.53,-0.051,9,stop_loss
sz.002371,2024-09-30,2024-10-09,259.54,298.17,500,19122.6,0.1488,9,take_profit
sh.600015,2024-10-09,2024-10-09,7.15,6.79,20900,-7799.19,-0.051,0,stop_loss
sz.000568,2024-10-09,2024-10-09,143.41,136.11,1000,-7483.85,-0.051,0,stop_loss
sz.000625,2024-10-09,2024-10-09,14.23,13.5,10500,-7795.85,-0.051,0,stop_loss
sz.002371,2024-10-10,2024-10-10,307.34,291.68,400,-6415.28,-0.051,0,stop_loss
sz.002601,2024-10-10,2024-10-11,18.82,17.86,7900,-7758.15,-0.0509,1,stop_loss
sz.000568,2024-10-10,2024-10-15,134.17,127.33,1100,-7701.48,-0.051,5,stop_loss
sh.601985,2024-10-11,2024-10-16,10.68,10.13,14000,-7801.26,-0.051,5,stop_loss
sz.002371,2024-10-14,2024-10-21,266.29,305.92,500,19619.63,0.1489,7,take_profit
sh.600015,2024-10-10,2024-10-30,6.81,6.58,22000,-5220.7,-0.0336,20,timeout
sh.600188,2024-10-10,2024-10-30,14.23,14.43,10500,1948.83,0.0144,20,timeout
sh.601985,2024-10-17,2024-10-30,10.31,9.78,14500,-7798.19,-0.051,13,stop_loss
sz.300394,2024-10-31,2024-11-04,90.48,91.17,1600,913.8,0.0076,4,signal_reverse
sz.002475,2024-10-16,2024-11-05,42.55,42.78,3500,616.94,0.0054,20,timeout
