date,total_value,cash,positions_value
2024-04-29,1073640.7980516138,478613.79805161385,595027.0
2024-04-30,1067701.7980516138,478613.79805161385,589088.0
2024-05-06,1081154.7980516138,478613.79805161385,602541.0
2024-05-07,1084312.7980516138,478613.79805161385,605699.0
2024-05-08,1077491.7980516138,478613.79805161385,598878.0
2024-05-09,1078823.7003512138,481760.70035121386,597063.0
2024-05-10,1082910.0669650137,793668.0669650139,289242.0
2024-05-13,1077659.019647214,507782.01964721404,569877.0
2024-05-14,1075395.019647214,507782.01964721404,567613.0
2024-05-15,1069227.019647214,507782.01964721404,561445.0
2024-05-16,1079601.495998214,358758.49599821406,720843.0
2024-05-17,1095878.495998214,358758.49599821406,737120.0
2024-05-20,1097086.495998214,358758.49599821406,738328.0
2024-05-21,1095476.495998214,358758.49599821406,736718.0
2024-05-22,1092480.495998214,358758.49599821406,733722.0
2024-05-23,1083288.495998214,358758.49599821406,724530.0
2024-05-24,1069519.180501264,488008.1805012641,581511.0
2024-05-27,1074980.180501264,488008.1805012641,586972.0
2024-05-28,1069063.557364964,628136.557364964,440927.0
2024-05-29,1064125.737247564,478884.737247564,585241.0
2024-05-30,1058738.232063564,341426.232063564,717312.0
2024-05-31,1056044.1543759638,481651.15437596396,574393.0
2024-06-03,1058847.1543759638,481651.15437596396,577196.0
2024-06-04,1061335.1543759638,481651.15437596396,579684.0
2024-06-05,1057578.1543759638,481651.15437596396,575927.0
2024-06-06,1050120.948098235,470860.948098235,579260.0
2024-06-07,1048134.460719035,323405.460719035,724729.0
2024-06-11,1051571.164586135,318705.164586135,732866.0
2024-06-12,1046750.5398146351,311518.53981463506,735232.0
2024-06-13,1051222.5398146352,311518.53981463506,739704.0
2024-06-14,1041739.6674875194,475404.66748751944,566335.0
2024-06-17,1039467.6674875194,475404.66748751944,564063.0
2024-06-18,1039909.6674875194,475404.66748751944,564505.0
2024-06-19,1040247.6674875194,475404.66748751944,564843.0
2024-06-20,1036232.6674875194,475404.66748751944,560828.0
2024-06-21,1036896.2063100195,618400.2063100195,418496.0
2024-06-24,1039357.9518340195,618179.9518340195,421178.0
2024-06-25,1041529.9518340195,618179.9518340195,423350.0
2024-06-26,1039716.6841141195,465474.68411411956,574242.0
2024-06-27,1040902.6841141195,465474.68411411956,575428.0
2024-06-28,1042951.6841141195,465474.68411411956,577477.0
2024-07-01,1045721.0245341195,588591.0245341195,457130.0
2024-07-02,1050166.6918213195,442024.6918213195,608142.0
2024-07-03,1044088.6918213195,442024.6918213195,602064.0
2024-07-04,1045886.6918213195,442024.6918213195,603862.0
2024-07-05,1036612.6918213195,442024.6918213195,594588.0
2024-07-08,1042915.3944245195,293175.3944245195,749740.0
2024-07-09,1043126.7551929195,444494.7551929195,598632.0
2024-07-10,1045118.7551929195,444494.7551929195,600624.0
2024-07-11,1048923.4629904195,444025.4629904196,604898.0
2024-07-12,1061731.4629904195,444025.4629904196,617706.0
2024-07-15,1055259.4629904195,444025.4629904196,611234.0
2024-07-16,1056226.4629904195,444025.4629904196,612201.0
2024-07-17,1061555.8591237196,322398.8591237196,739157.0
2024-07-18,1064549.8591237196,322398.8591237196,742151.0
2024-07-19,1072166.8591237196,322398.8591237196,749768.0
2024-07-22,1070687.8591237196,322398.8591237196,748289.0
2024-07-23,1055237.7258653196,330455.7258653196,724782.0
2024-07-24,1045674.7258653196,330455.7258653196,715219.0
2024-07-25,1048924.7258653196,330455.7258653196,718469.0
2024-07-26,1046843.3473790196,625325.3473790196,421518.0
2024-07-29,1041759.3473790196,625325.3473790196,416434.0
2024-07-30,1039511.3473790196,625325.3473790196,414186.0
2024-07-31,1052155.2915169196,335742.2915169196,716413.0
2024-08-01,1043018.7591198201,603952.7591198201,439066.0
2024-08-02,1037904.7591198201,603952.7591198201,433952.0
2024-08-05,1038418.7591198201,603952.7591198201,434466.0
2024-08-06,1036478.7591198201,603952.7591198201,432526.0
2024-08-07,1036523.15734562,610295.15734562,426228.0
2024-08-08,1039673.15734562,610295.15734562,429378.0
2024-08-09,1041447.15734562,610295.15734562,431152.0
2024-08-12,1040441.4008736201,461862.40087362,578579.0
2024-08-13,1032671.4008736201,461862.40087362,570809.0
2024-08-14,1029287.4008736201,461862.40087362,567425.0
2024-08-15,1033709.83902152,745092.83902152,288617.0
2024-08-16,1034820.83902152,745092.83902152,289728.0
2024-08-19,1030810.83902152,745092.83902152,285718.0
2024-08-20,1031923.76198272,604113.76198272,427810.0
2024-08-21,1034325.76198272,604113.76198272,430212.0
2024-08-22,1038468.63378922,744794.63378922,293674.0
2024-08-23,1035327.81304602,299071.81304602,736256.0
2024-08-26,1034941.81304602,299071.81304602,735870.0
2024-08-27,1034547.05375802,446971.05375802,587576.0
2024-08-28,1030805.05375802,446971.05375802,583834.0
2024-08-29,1021527.05375802,446971.05375802,574556.0
2024-08-30,1032270.48466782,297142.48466782004,735128.0
2024-09-02,1022846.48466782,297142.48466782004,725704.0
2024-09-03,1026140.48466782,297142.48466782004,728998.0
2024-09-04,1023301.1850762905,434515.18507629045,588786.0
2024-09-05,1029847.1850762905,434515.18507629045,595332.0
2024-09-06,1028561.1672439905,285881.16724399047,742680.0
